Taxon Id	Common name	Scientific name	Parent	Rank
1069440	Italian sparrow	Passer italiae	9159	species
1069444		Poecile weigoldicus	142475	species
1069445	Tenerife blue tit	Cyanistes teneriffae	156562	species
1069446		Cyanistes teneriffae teneriffae	1069445	subspecies
1069447	Palma blue tit	Cyanistes palmensis	156562	species
1069449	Fuerteventura blue tit	Cyanistes degener	156562	species
1069450	Hierro blue tit	Cyanistes ombriosus	156562	species
1069489	Songar tit	Poecile songarus	142475	species
1070449		Malacocincla sepiaria	201340	species
1070450		Malacopteron affine	201342	species
1070837		Hapalopsittaca amazonina theresae	303328	subspecies
1070838		Hapalopsittaca amazonina velezi	303328	subspecies
1070839		Hapalopsittaca fuertesi	303327	species
1070840		Hapalopsittaca pyrrhops	303327	species
1070841		Hapalopsittaca melanotis peruviana	867392	subspecies
1071634		Sinosuthora webbiana bulomacha	337173	subspecies
1071635		Sinosuthora webbiana mantschurica	337173	subspecies
1071636		Sinosuthora alphonsiana ganluoensis	2485304	subspecies
1071637		Sinosuthora alphonsiana stresemanni	2485304	subspecies
1071638		Paradoxornis brunneus	201370	species
1071639		Paradoxornis brunneus brunneus	1071638	subspecies
1071640		Paradoxornis brunneus ricketti	1071638	subspecies
1071643		Paradoxornis atrosuperciliaris	201370	species
1071644		Paradoxornis atrosuperciliaris atrosuperciliaris	1071643	subspecies
